time P_1 P_2 P_{tot}
2.690010000000000012e+00 -1.366894169028711470e-01 1.366894169028711470e-01 0.000000000000000000e+00
2.700009999999999799e+00 -1.358717358473225945e-01 1.358717358473225945e-01 0.000000000000000000e+00
2.710010000000000030e+00 -1.350589461929736779e-01 1.350589461929736779e-01 0.000000000000000000e+00
2.720009999999999817e+00 -1.342510186849903697e-01 1.342510186849903697e-01 0.000000000000000000e+00
2.730010000000000048e+00 -1.334479242410367139e-01 1.334479242410367139e-01 0.000000000000000000e+00
2.740009999999999835e+00 -1.326496339579857353e-01 1.326496339579857353e-01 0.000000000000000000e+00
2.750010000000000066e+00 -1.318561190753006207e-01 1.318561190753006207e-01 0.000000000000000000e+00
2.760009999999999852e+00 -1.310673509947564708e-01 1.310673509947564708e-01 0.000000000000000000e+00
2.770010000000000083e+00 -1.302833013553281183e-01 1.302833013553281183e-01 0.000000000000000000e+00
2.780009999999999870e+00 -1.295039419335516917e-01 1.295039419335516917e-01 0.000000000000000000e+00
2.790010000000000101e+00 -1.287292446746620966e-01 1.287292446746620966e-01 0.000000000000000000e+00
2.800009999999999888e+00 -1.279591816934072257e-01 1.279591816934072257e-01 0.000000000000000000e+00
2.810010000000000119e+00 -1.271937252714861744e-01 1.271937252714861744e-01 0.000000000000000000e+00
2.820009999999999906e+00 -1.264328478346663787e-01 1.264328478346663787e-01 0.000000000000000000e+00
2.830010000000000137e+00 -1.256765219712037973e-01 1.256765219712037973e-01 0.000000000000000000e+00
2.840009999999999923e+00 -1.249247204769523695e-01 1.249247204769523695e-01 0.000000000000000000e+00
2.850010000000000154e+00 -1.241774162893354294e-01 1.241774162893354294e-01 0.000000000000000000e+00
2.860009999999999941e+00 -1.234345825048180495e-01 1.234345825048180495e-01 0.000000000000000000e+00
2.870010000000000172e+00 -1.226961923855603015e-01 1.226961923855603015e-01 0.000000000000000000e+00
2.880009999999999959e+00 -1.219622193534452836e-01 1.219622193534452836e-01 0.000000000000000000e+00
2.890010000000000190e+00 -1.212326369669179116e-01 1.212326369669179116e-01 0.000000000000000000e+00
2.900009999999999977e+00 -1.205074189533408557e-01 1.205074189533408557e-01 0.000000000000000000e+00
2.910010000000000208e+00 -1.197865392189362554e-01 1.197865392189362554e-01 0.000000000000000000e+00
2.920009999999999994e+00 -1.190699718148638397e-01 1.190699718148638397e-01 0.000000000000000000e+00
2.930009999999999781e+00 -1.183576909451275194e-01 1.183576909451275194e-01 0.000000000000000000e+00
2.940010000000000012e+00 -1.176496709709555916e-01 1.176496709709555916e-01 0.000000000000000000e+00
2.950009999999999799e+00 -1.169458864065265336e-01 1.169458864065265336e-01 0.000000000000000000e+00
2.960010000000000030e+00 -1.162463118967679149e-01 1.162463118967679149e-01 0.000000000000000000e+00
2.970009999999999817e+00 -1.155509222552871668e-01 1.155509222552871668e-01 0.000000000000000000e+00
2.980010000000000048e+00 -1.148596924585679191e-01 1.148596924585679191e-01 0.000000000000000000e+00
2.990009999999999835e+00 -1.141725976242397161e-01 1.141725976242397161e-01 0.000000000000000000e+00
3.000010000000000066e+00 -1.134896130204596232e-01 1.134896130204596232e-01 0.000000000000000000e+00
3.010009999999999852e+00 -1.128107140614470344e-01 1.128107140614470344e-01 0.000000000000000000e+00
3.020010000000000083e+00 -1.121358763099763178e-01 1.121358763099763178e-01 0.000000000000000000e+00
3.030009999999999870e+00 -1.114650754508481334e-01 1.114650754508481334e-01 0.000000000000000000e+00
3.040010000000000101e+00 -1.107982873355360109e-01 1.107982873355360109e-01 0.000000000000000000e+00
3.050009999999999888e+00 -1.101354879711091972e-01 1.101354879711091972e-01 0.000000000000000000e+00
3.060010000000000119e+00 -1.094766534975036287e-01 1.094766534975036287e-01 0.000000000000000000e+00
3.070009999999999906e+00 -1.088217602003009044e-01 1.088217602003009044e-01 0.000000000000000000e+00
3.080010000000000137e+00 -1.081707845053240108e-01 1.081707845053240108e-01 0.000000000000000000e+00
3.090009999999999923e+00 -1.075237029807984829e-01 1.075237029807984829e-01 0.000000000000000000e+00
