time P_D P_L P_R P_V P_{tot}
3.897590264290000217e+00 -5.086419088510151729e-85 7.301218217837836148e-219 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
3.907590264290000004e+00 -5.086419088510151729e-85 4.312440634265351104e-219 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
3.917590264289999791e+00 -5.086419088510151729e-85 1.323663050669834707e-219 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
3.927590264290000022e+00 -5.086419088510151729e-85 -7.442338635515496054e-234 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
3.937590264289999809e+00 -5.086419088510151729e-85 -5.451412822236603531e-234 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
3.947590264290000039e+00 -5.086419088510151729e-85 -3.460487008971529974e-234 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
3.957590264289999826e+00 -5.086419088510151729e-85 -1.469561195697244332e-234 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
3.967590264290000057e+00 -5.086419088510151729e-85 5.213646175770414494e-235 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
3.977590264289999844e+00 -5.086419088510151729e-85 2.512290430851327510e-234 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
3.987590264290000075e+00 -5.086419088510151729e-85 4.237855135951031938e-234 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
3.997590264289999862e+00 -5.086419088510151729e-85 3.906034167068146009e-234 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.007590264290000093e+00 -5.086419088510151729e-85 3.574213198189865843e-234 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.017590264289999880e+00 -5.086419088510151729e-85 3.242392229311586235e-234 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.027590264289999666e+00 -5.086419088510151729e-85 2.910571260433306069e-234 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.037590264290000341e+00 -5.086419088510151729e-85 2.578750291555026462e-234 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.047590264290000128e+00 -5.086419088510151729e-85 2.246929322676746017e-234 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.057590264289999915e+00 -5.086419088510151729e-85 1.915108353793859808e-234 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.067590264289999702e+00 -5.086419088510151729e-85 1.583287384915579922e-234 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.077590264290000377e+00 -5.086419088510151729e-85 1.251466416037300175e-234 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.087590264290000164e+00 -5.086419088510151729e-85 9.196454471590201482e-235 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.097590264289999951e+00 -5.086419088510151729e-85 5.878244782807402615e-235 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.107590264289999737e+00 -5.086419088510151729e-85 2.560035093996965818e-235 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.117590264290000412e+00 -5.086419088510151729e-85 -3.747136619730011124e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.127590264290000199e+00 -5.086419088510151729e-85 -3.526099451909109800e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.137590264289999986e+00 -5.086419088510151729e-85 -3.305062284083602176e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.147590264289999773e+00 -5.086419088510151729e-85 -3.084025116262700851e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.157590264289999560e+00 -5.086419088510151729e-85 -2.862987948441799526e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.167590264290000235e+00 -5.086419088510151729e-85 -2.641950780620898697e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.177590264290000022e+00 -5.086419088510151729e-85 -2.420913612799997373e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.187590264289999809e+00 -5.086419088510151729e-85 -2.199876444974489748e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.197590264289999595e+00 -5.086419088510151729e-85 -1.978839277153588672e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.207590264290000270e+00 -5.086419088510151729e-85 -1.757802109332687347e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.217590264290000057e+00 -5.086419088510151729e-85 -1.536764941511786022e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.227590264289999844e+00 -5.086419088510151729e-85 -1.315727773690884946e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.237590264289999631e+00 -5.086419088510151729e-85 -1.094690605865377445e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.247590264290000306e+00 -5.086419088510151729e-85 -8.736534380444761207e-250 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.257590264290000093e+00 -5.086419088510151729e-85 -6.526162702235749199e-250 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.267590264289999880e+00 -5.086419088510151729e-85 -4.315791024012917798e-250 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.277590264289999666e+00 -5.086419088510151729e-85 -2.105419345794692758e-250 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.287590264290000341e+00 -5.086419088510151729e-85 1.049523324216898970e-251 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.297590264290000128e+00 -5.086419088510151729e-85 2.315324010641757323e-250 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.307590264289999915e+00 -5.086419088510151729e-85 4.525695688859982363e-250 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.317590264289999702e+00 -5.086419088510151729e-85 6.736067367064388319e-250 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
