time	i_D	u_D	i_L	u_L	i_R	u_R	i_V	u_V
2.02001	-1.54527632651e-40	-0.132655463859	0.867344536122	0.132655464096	0.867344536159	0.867344536159	-0.867344536141	1.
2.03001	-1.47145438011e-40	-0.13133551999	0.868664479991	0.131335520216	0.868664480026	0.868664480026	-0.868664480009	1.
2.04001	-1.01361767636e-40	-0.130028709783	0.869971290204	0.130028709938	0.869971290229	0.869971290229	-0.869971290217	1.
2.05001	-2.16457312854e-41	-0.128734902547	0.871265097451	0.12873490258	0.871265097456	0.871265097456	-0.871265097453	1.
2.06001	8.02993396023e-41	-0.127453968888	0.872546031122	0.127453968765	0.872546031103	0.872546031103	-0.872546031112	1.
2.07001	1.78846637256e-40	-0.126185780736	0.873814219287	0.126185780462	0.873814219244	0.873814219244	-0.873814219265	1.
2.08001	2.42622418205e-40	-0.124930211257	0.875069788774	0.124930210885	0.875069788716	0.875069788716	-0.875069788744	1.
2.09001	2.28223128163e-40	-0.12368713488	0.876312865149	0.12368713453	0.876312865094	0.876312865094	-0.876312865121	1.
2.10001	7.87071083864e-41	-0.122456427282	0.877543572728	0.122456427161	0.877543572709	0.877543572709	-0.877543572719	1.
2.11001	-4.84215194726e-41	-0.121237965429	0.878762034565	0.121237965504	0.878762034576	0.878762034576	-0.87876203457	1.
2.12001	-6.41442967278e-41	-0.120031627493	0.879968372499	0.120031627591	0.879968372514	0.879968372514	-0.879968372507	1.
2.13001	2.59314696098e-41	-0.118837292829	0.881162707174	0.118837292789	0.881162707168	0.881162707168	-0.881162707171	1.
2.14001	3.04898568792e-40	-0.117654842009	0.882345158029	0.117654841542	0.882345157956	0.882345157956	-0.882345157992	1.
2.15001	6.403289732e-40	-0.116484156781	0.883515843299	0.1164841558	0.883515843146	0.883515843146	-0.883515843221	1.
2.16001	7.7206243487e-40	-0.115325120059	0.884674880038	0.115325118876	0.884674879853	0.884674879853	-0.884674879945	1.
2.17001	7.66100098496e-40	-0.114177615935	0.885822384161	0.114177614761	0.885822383978	0.885822383978	-0.885822384068	1.
2.18001	5.11009154327e-40	-0.113041529642	0.886958470422	0.113041528859	0.8869584703	0.8869584703	-0.88695847036	1.
2.19001	3.79097336821e-41	-0.111916747575	0.88808325243	0.111916747517	0.888083252421	0.888083252421	-0.888083252425	1.
2.20001	-2.14520240917e-40	-0.110803157324	0.889196842649	0.110803157653	0.8891968427	0.8891968427	-0.889196842675	1.
2.21001	-3.98574751827e-40	-0.109700647496	0.890299352454	0.109700648107	0.89029935255	0.89029935255	-0.890299352502	1.
2.22001	-4.03604696486e-40	-0.108609107842	0.891390892108	0.10860910846	0.891390892204	0.891390892204	-0.891390892157	1.
2.23001	-1.41981758462e-40	-0.107528429208	0.892471570774	0.107528429426	0.892471570808	0.892471570808	-0.892471570791	1.
2.24001	-6.79009295526e-41	-0.106458503511	0.89354149648	0.106458503615	0.893541496497	0.893541496497	-0.893541496489	1.
2.25001	3.30912364182e-41	-0.105399223756	0.894600776249	0.105399223705	0.894600776241	0.894600776241	-0.894600776245	1.
2.26001	1.21236152423e-40	-0.104350483999	0.895649516016	0.104350483813	0.895649515987	0.895649515987	-0.895649516001	1.
2.27001	1.36505720288e-40	-0.103312179348	0.896687820669	0.103312179139	0.896687820636	0.896687820636	-0.896687820653	1.
2.28001	2.3414870937e-40	-0.102284206022	0.897715794007	0.102284205663	0.897715793951	0.897715793951	-0.897715793979	1.
2.29001	3.26053726359e-40	-0.101266461193	0.898733538848	0.101266460694	0.89873353877	0.89873353877	-0.898733538808	1.
2.30001	3.82484638798e-40	-0.100258843075	0.899741156973	0.100258842489	0.899741156881	0.899741156881	-0.899741156927	1.
2.31001	3.77922497643e-40	-0.0992612508923	0.900738749155	0.0992612503133	0.900738749065	0.900738749065	-0.900738749109	1.
2.32001	3.55015814982e-40	-0.0982735849147	0.90172641513	0.0982735843707	0.901726415045	0.901726415045	-0.901726415087	1.
2.33001	3.15673788877e-40	-0.0972957463758	0.902704253664	0.0972957458921	0.902704253588	0.902704253588	-0.902704253626	1.
2.34001	2.52640887919e-40	-0.0963276374832	0.903672362548	0.0963276370961	0.903672362488	0.903672362488	-0.903672362518	1.
2.35001	1.78688063795e-40	-0.0953691614254	0.904630838597	0.0953691611516	0.904630838554	0.904630838554	-0.904630838575	1.
2.36001	9.40533696154e-41	-0.0944202223632	0.905579777649	0.0944202222191	0.905579777626	0.905579777626	-0.905579777637	1.
2.37001	3.74684552866e-42	-0.0934807254106	0.90651927459	0.0934807254048	0.906519274589	0.906519274589	-0.906519274589	1.
2.38001	-6.36698527237e-41	-0.0925505766162	0.907449423376	0.0925505767137	0.907449423391	0.907449423391	-0.907449423384	1.
2.39001	-8.25639010808e-41	-0.0916296829663	0.908370317023	0.0916296830928	0.908370317043	0.908370317043	-0.908370317033	1.
2.40001	-6.51405885547e-41	-0.0907179523718	0.90928204762	0.0907179524716	0.909282047636	0.909282047636	-0.909282047628	1.
2.41001	-7.98898672418e-41	-0.0898152936591	0.910184706331	0.0898152937815	0.91018470635	0.91018470635	-0.910184706341	1.
