time	y	v	a
4.15683232043	2.39641628184	-0.297888228176	-9.81
4.16683232043	2.39294689956	-0.395988228176	-9.81
4.17683232043	2.38849651727	-0.494088228176	-9.81
4.18683232043	2.38306513499	-0.592188228176	-9.81
4.19683232043	2.37665275271	-0.690288228176	-9.81
4.20683232043	2.36925937043	-0.788388228176	-9.81
4.21683232043	2.36088498815	-0.886488228176	-9.81
4.22683232043	2.35152960586	-0.984588228176	-9.81
4.23683232043	2.34119322358	-1.08268822818	-9.81
4.24683232043	2.3298758413	-1.18078822818	-9.81
4.25683232043	2.31757745902	-1.27888822818	-9.81
4.26683232043	2.30429807673	-1.37698822818	-9.81
4.27683232043	2.29003769445	-1.47508822818	-9.81
4.28683232043	2.27479631217	-1.57318822818	-9.81
4.29683232043	2.25857392989	-1.67128822818	-9.81
4.30683232043	2.2413705476	-1.76938822818	-9.81
4.31683232043	2.22318616532	-1.86748822818	-9.81
4.32683232043	2.20402078304	-1.96558822818	-9.81
4.33683232043	2.18387440076	-2.06368822818	-9.81
4.34683232043	2.16274701847	-2.16178822818	-9.81
4.35683232043	2.14063863619	-2.25988822818	-9.81
4.36683232043	2.11754925391	-2.35798822818	-9.81
4.37683232043	2.09347887163	-2.45608822818	-9.81
4.38683232043	2.06842748935	-2.55418822818	-9.81
4.39683232043	2.04239510706	-2.65228822818	-9.81
4.40683232043	2.01538172478	-2.75038822818	-9.81
4.41683232043	1.9873873425	-2.84848822818	-9.81
4.42683232043	1.95841196022	-2.94658822818	-9.81
4.43683232043	1.92845557793	-3.04468822818	-9.81
4.44683232043	1.89751819565	-3.14278822818	-9.81
4.45683232043	1.86559981337	-3.24088822818	-9.81
4.46683232043	1.83270043109	-3.33898822818	-9.81
4.47683232043	1.79882004881	-3.43708822818	-9.81
4.48683232043	1.76395866652	-3.53518822818	-9.81
4.49683232043	1.72811628424	-3.63328822818	-9.81
4.50683232043	1.69129290196	-3.73138822818	-9.81
4.51683232043	1.65348851968	-3.82948822818	-9.81
4.52683232043	1.61470313739	-3.92758822818	-9.81
4.53683232043	1.57493675511	-4.02568822818	-9.81
4.54683232043	1.53418937283	-4.12378822818	-9.81
4.55683232043	1.49246099055	-4.22188822818	-9.81
4.56683232043	1.44975160827	-4.31998822818	-9.81
4.57683232043	1.40606122598	-4.41808822818	-9.81
4.58683232043	1.3613898437	-4.51618822818	-9.81
4.59683232043	1.31573746142	-4.61428822818	-9.81
4.60683232043	1.26910407914	-4.71238822818	-9.81
4.61683232043	1.22148969686	-4.81048822818	-9.81
4.62683232043	1.17289431457	-4.90858822818	-9.81
4.63683232043	1.12331793229	-5.00668822818	-9.81
4.64683232043	1.07276055001	-5.10478822818	-9.81
4.65683232043	1.02122216773	-5.20288822818	-9.81
4.66683232043	0.968702785445	-5.30098822818	-9.81
4.67683232043	0.915202403163	-5.39908822818	-9.81
4.68683232043	0.860721020881	-5.49718822818	-9.81
4.69683232043	0.805258638599	-5.59528822818	-9.81
4.70683232043	0.748815256317	-5.69338822818	-9.81
4.71683232043	0.691390874035	-5.79148822818	-9.81
4.72683232043	0.632985491753	-5.88958822818	-9.81
4.73683232043	0.573599109471	-5.98768822818	-9.81
4.74683232043	0.513231727189	-6.08578822818	-9.81
4.75683232043	0.451883344907	-6.18388822818	-9.81
4.76683232043	0.389553962624	-6.28198822818	-9.81
4.77683232043	0.326243580342	-6.38008822818	-9.81
4.78683232043	0.26195219806	-6.47818822818	-9.81
4.79683232043	0.196679815778	-6.57628822818	-9.81
4.80683232043	0.130426433496	-6.67438822818	-9.81
4.81683232043	0.0631920512136	-6.77248822818	-9.81
4.82610080282	7.17243996576e-10	-6.86341203972	-9.81
4.82611080289	7.17243995946e-10	4.8043884278	0.
4.82611288411	9.99939018699e-06	4.8043884278	0.
4.82612288417	1.89390186989e-07	4.8043884278	-9.81
4.83612288417	0.0475535733028	4.7062884278	-9.81
4.84612288417	0.0941259575373	4.6081884278	-9.81
4.85612288417	0.139717341793	4.5100884278	-9.81
4.86612288417	0.18432772605	4.4119884278	-9.81
4.87612288417	0.227957110314	4.3138884278	-9.81
